,condition,sample_num,mean_intensity_0to10,mean_intensity_80to90,lt_over_side_enrichment,stage
35,wt,40,5.369916341633800,5.846310376132590,0.9185137285143700,3
15,wt,631,5.366272881597090,5.000765372610720,1.0730903135324600,3
24,wt,19,5.580907203533680,5.131326546676380,1.0876148989482100,3
33,wt,36,4.3191544952399700,3.8499100114515800,1.1218845329871700,3
0,wt,60,3.887840812934260,3.377123884816430,1.1512283663664300,3
29,wt,29,6.442018503153300,5.1089275819352,1.260933610789830,3
26,wt,645,6.402767852300840,4.854519939800800,1.3189291488549500,3
14,wt,630,7.164452152588060,5.177117267797030,1.383869010878460,3
24,wt,643,5.601587133094230,3.959566792181710,1.4146969673942000,3
25,wt,21,8.74159786062804,5.76309377743052,1.5168238099581100,3
19,wt,7,5.39848873209889,3.35805323222768,1.6076245249148800,3
16,wt,1,4.675512329960050,2.8388131800132900,1.6469954285396700,3
22,wt,16,6.249651072458150,3.259825588259000,1.9171734509256200,3
38,wt,47,6.127597547848770,6.424368898808200,0.9538053689578000,4
21,wt,13,5.399825731382680,4.975981848432780,1.085177939924240,4
30,wt,30,6.007441410135060,5.487153260621290,1.0948193215683700,4
32,wt,33,4.319094516889900,3.7042223934729800,1.1659922267357200,4
17,wt,2,4.933584084148390,4.148131130945330,1.1893510422907100,4
26,wt,24,5.42120659252178,4.43981698785032,1.22104280589877,4
28,wt,27,6.873851223527070,4.94637357193996,1.3896749049690500,4
18,wt,6,7.423642222772350,4.8922356252677500,1.5174334989979300,4
3,wt,64,5.235037582021040,3.3742135905424600,1.5514837580804800,4
20,wt,11,6.226780501645490,3.9320305195393300,1.5836043160659400,4
17,wt,634,4.843016630758110,3.016452104497280,1.6055340721430900,4
34,wt,17,4.988139391357740,4.692837707099130,1.0629260380796700,5
42,wt,35,4.7827583458821600,4.4267483958013400,1.080422449674010,5
38,wt,25,6.168102730596110,4.200284387848820,1.4684964542972500,5
28,wt,5,7.386555863614680,5.007274380538190,1.4751649904235400,5
37,wt,23,6.974739870143580,4.631194042656560,1.5060349028568700,5
4,wt,66,4.578143777260480,3.032606499944300,1.5096399013009300,5
29,wt,8,7.201297624940770,4.497234912833000,1.6012722849748500,5
44,wt,41,6.110078386964110,3.6386532680027000,1.6792142413498000,5
32,wt,12,6.032340425188550,3.1767830401135600,1.8988833511818700,5
40,wt,31,6.072800871407850,4.6299175222694000,1.31164342392674,6
30,wt,9,5.6554507926866400,3.798187221648300,1.4889868409994700,6
39,wt,28,7.021221422248280,3.936497169853110,1.7836216106082600,6
35,wt,20,7.2955537869410500,3.7481528312652400,1.946439783907730,6
45,wt,45,6.4045023690684700,3.1567319913529200,2.0288394411093600,6
43,wt,38,5.523660758772510,2.6985621890713600,2.0468902963001000,6
27,wt,4,7.601043613135780,3.0744946593058200,2.472290394172280,6
41,wt,34,7.523905381698040,2.8592737034672700,2.6314043921623300,6
36,wt,22,6.319296192555190,2.169398705784350,2.9129252155013300,6
31,wt,10,6.4382257187246000,2.861980352532730,2.2495702016357500,7
26,wt,3,8.162176386644890,3.0255710256010600,2.6977308804123600,7
6,wt,50,5.267886264064140,1.6638965696902700,3.1659938243906200,7
46,wt,48,8.26342932916305,2.4219125335373600,3.4119437488907900,7
33,wt,14,8.126951847782410,2.0619748141072900,3.9413438962400200,7
1,tj,87,0.8700284408857730,1.5479977334486300,0.5620346994614270,3
11,tj,33,1.8108048511918000,2.726879345876420,0.6640575623303960,3
4,tj,50,3.9261692541060300,4.65465941216993,0.843492274395156,3
9,tj,70,5.114135011048870,5.862872996534270,0.872291624613393,3
13,tj,40,2.066087282008810,2.3181182545125500,0.891277775836881,3
5,tj,51,4.812740399042030,4.992004992872290,0.9640896605499760,3
6,tj,67,3.520251948401980,3.5793193349154600,0.9834975924228700,3
1,tj,5,2.129074127924090,2.15762774390069,0.9867661991011590,3
7,tj,94,3.4176540129688100,3.4606351457198300,0.987579987215879,3
4,tj,47,4.204495346768790,4.24997519335073,0.9892987971663700,3
0,tj,86,2.818552814413270,2.6706477526910500,1.0553817183764500,3
3,tj,64,4.200999140622410,3.942461767999810,1.0655776486461100,3
0,tj,61,2.833710683868490,2.6474007193731500,1.070374674726030,3
9,tj,25,2.7435989275788000,2.5611831264461100,1.071223255865270,3
15,tj,45,3.817129976660640,3.2092511172092500,1.1894145510121300,3
4,tj,12,3.0589808431866300,3.7562065449089300,0.8143803613069930,4
12,tj,38,3.3917014625111700,4.100854307254140,0.8270719241382150,4
8,tj,95,4.13642369626338,4.940936034588490,0.837174103713707,4
14,tj,75,4.0558985496984200,4.663592264638510,0.869694072625537,4
14,tj,44,3.3077436524668000,3.735299184986610,0.8855364694109940,4
2,tj,88,2.7321557182048900,2.8904909702445400,0.945222021563261,4
5,tj,66,4.934319982001730,4.749290203030890,1.0389594594267500,4
6,tj,49,4.469176746843280,4.165447054895680,1.0729164692156200,4
5,tj,92,3.881888562240290,3.4753044195568000,1.1169923821336300,4
10,tj,31,3.506516115755060,2.71071915230993,1.2935741103120200,4
3,tj,90,3.315075091145990,4.0865591198456200,0.8112142743872080,5
4,tj,8,2.928490096274300,3.2157827499159200,0.9106616721390380,5
17,tj,29,2.233552443594810,2.3377480359385500,0.9554290750149570,5
15,tj,76,5.689079518874980,5.681964611187300,1.0012521914820900,5
19,tj,32,4.023710283454790,3.7599899898911300,1.0701385626750800,5
9,tj,18,4.0746795747182700,3.5560614048339000,1.1458406115202100,5
13,tj,24,4.808347831591610,4.115391748212140,1.1683815601954600,5
21,tj,36,4.192095349518480,3.557166777378300,1.1784927758175400,5
14,tj,26,3.320859076753960,2.742441714269890,1.21091327464659,5
24,tj,41,2.906143761917600,4.081639657680860,0.7120039997771,6
20,tj,34,3.041907871171620,3.9899504599086200,0.7623923910176290,6
3,tj,6,2.464088775444720,3.1843806074548000,0.7738047297726140,6
10,tj,21,3.0462002914043900,3.3324278409932300,0.9141084028683630,6
1,tj,2,3.7981466323457300,3.8912000131506900,0.9760861995038860,6
18,tj,30,2.8536677813585800,2.915278496940540,0.9788662676150430,6
22,tj,37,5.513683289721980,5.50860518116898,1.0009218501573400,6
25,tj,42,4.203704575801560,4.09685789255272,1.0260801536326300,6
0,tj,1,5.16139148487029,4.953234192065250,1.0420245206936700,6
15,tj,27,4.42032491368567,3.823502744218850,1.1560930406991900,6
16,tj,28,4.756685633326540,5.768271634096610,0.8246292711337450,7
8,tj,17,3.0691869758843500,3.5580651755675100,0.8625999874762870,7
12,tj,23,3.548130583482540,4.024058597503620,0.8817293529680880,7
7,tj,14,3.569045134642570,3.508664379916300,1.0172090425838100,7
2,tj,4,4.198587508670070,4.074542040116450,1.0304440271648500,7
23,tj,39,4.634301018325080,4.413173714713590,1.0501061861386200,7
11,tj,22,4.624015385682740,4.127115683682380,1.1203987821240300,7
6,tj,11,3.496669794939830,2.9348793303036300,1.191418590480200,7
5,tj,9,4.372557372743750,3.4415318355834100,1.2705264927478200,7
0,10930,51,2.7261636301967500,3.7236472730205900,0.7321218768353710,3
0,10930,32,2.8258545097797600,3.7755975122920600,0.7484522649937500,3
1,10930,52,3.0050503628381400,4.001305091400660,0.7510175540716440,3
12,10930,65,2.498292015325890,2.9659646066973300,0.84232023864499,3
3,10930,4,3.7580975372179800,4.331417940043170,0.8676367852834180,3
16,10930,71,2.9857468420960700,3.4293410534167300,0.87064739131773,3
27,10930,30,2.782952939002050,3.1009869777724500,0.8974410273083900,3
9,10930,60,1.8888254622265100,2.0938150100656400,0.9020975841448830,3
7,10930,58,2.420736477173870,2.4718144956834400,0.9793358204676110,3
13,10930,66,3.067206283655970,2.731098847205600,1.1230667417234900,3
2,10930,39,4.120089315308330,3.643531087869070,1.1307957077753300,3
20,10930,23,4.94920210708796,4.160713371235770,1.1895080640025000,3
1,10930,38,4.781621979753170,3.7333260281514800,1.2807941079072500,3
4,10930,55,3.7613875423197000,5.046470184090770,0.7453501962971360,4
3,10930,35,2.9717049891225000,3.6140172739888000,0.8222719383525850,4
3,10930,54,2.987156378484540,3.6327873047801300,0.8222767059755900,4
14,10930,67,4.02705352540247,4.563639175832440,0.882421543475313,4
6,10930,57,2.687681491863120,2.9788125299193600,0.9022660757828490,4
21,10930,24,3.7867394692260000,3.6761651399796700,1.0300787165526900,4
2,10930,53,4.0759580346442500,3.9321319947498900,1.0365771139133700,4
10,10930,61,4.188244524927310,3.901956273026730,1.0733704408426100,4
5,10930,6,3.0537918534866100,2.8362786335119400,1.0766896515048400,4
8,10930,9,4.09251369020098,3.7524024779314700,1.0906382548966300,4
14,10930,17,4.377583089572620,3.8041949287700000,1.1507252313666300,4
0,10930,37,5.03643689732084,3.6541415100644100,1.3782818436147700,4
17,10930,20,3.6333621963650300,2.605902027659580,1.3942819637115200,4
4,10930,5,2.590611664074260,3.6962249215877400,0.7008804169204710,5
10,10930,11,3.4795525169507800,3.471131282861030,1.0024260776684900,5
25,10930,28,3.8924024651990700,3.7859682167666100,1.028112821433920,5
0,10930,1,4.1720063565440800,3.6781083596854600,1.134280436724510,5
8,10930,59,3.776997131367630,3.1383012277158200,1.2035164432308700,5
5,10930,42,4.028592467763310,3.2409933916082300,1.2430116266803800,5
6,10930,43,4.526657483526540,3.438042425389900,1.3166380525432800,5
1,10930,33,4.116927571346770,2.99439359788935,1.3748785644775200,5
6,10930,7,4.872278871336970,3.5164323096391100,1.385574480697740,5
23,10930,26,3.868551284519120,2.7486310183347000,1.40744656474951,5
13,10930,15,4.243849603474190,2.750840775146610,1.5427463638814300,5
12,10930,13,4.51505611018835,2.6828440876584200,1.6829364520131600,5
3,10930,40,5.78975364263979,3.2670246753899500,1.772179342951770,5
19,10930,22,5.144287536126810,2.8917440606164000,1.7789567224114100,5
26,10930,29,4.147779344208630,2.072745526548360,2.00110399037538,5
22,10930,25,4.390113641381230,2.695529486294560,1.628664670040820,6
16,10930,19,3.9904349502396100,2.3208137702771800,1.7194119585747800,6
15,10930,18,4.053595485874530,2.3259339525355000,1.7427818539110700,6
28,10930,31,4.289254375729000,2.125818586090420,2.0176953968670200,6
18,10930,21,5.0814432743038000,1.9579556411242900,2.595280080699860,6
2,10930,34,4.696958770600250,1.6834784840959900,2.7900319576240200,6
1,10930,2,5.532249911944900,2.3271658743330500,2.377247781501780,7
9,10930,10,4.364613075390660,1.5240535959816300,2.8638186261287300,7
7,10930,8,4.960893883959270,1.5270676354681000,3.248640576708050,7
11,10930,12,3.929334307397540,1.1247247765808600,3.493596290589980,7
4,10930,41,4.475111768118390,1.157470767114260,3.8662849164437100,7